First Name, Middle Name, Last Name, Email Address, Phone Number, Matric Number
FirstName0,MiddleName,LastName0,Email0@school.edu.ng,07051521515,STU/121/122
FirstName1,MiddleName,LastName1,Email2@school.edu.ng,07051521525,STU/122/122
FirstName2,MiddleName,LastName2,Email2@school.edu.ng,07051521535,STU/123/122
FirstName3,MiddleName,LastName3,Email3@school.edu.ng,07051521545,STU/122/123
FirstName4,MiddleName,LastName4,Email4@school.edu.ng,07051521515,STU/122/122
First Name, Middle Name, Last Name, Email Address, Phone Number, Staff Number
FirstName5,MiddleName,LastName5,Email5@school.edu.ng,07041521515,STF/121/122
FirstName6,MiddleName,LastName6,Email6@school.edu.ng,07041521525,STF/122/122
FirstName7,MiddleName,LastName7,Email7@school.edu.ng,07041521535,STF/123/122
FirstName8,MiddleName,LastName8,Email8@school.edu.ng,07041521545,STF/122/123
FirstName9,MiddleName,LastName9,Email9@school.edu.ng,07041521515,STF/122/122	
